Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,10:00:00 AM,5,Up,1
2,10:00:00 AM,4,Up,3
3,10:00:00 AM,6,Down,3
4,10:01:00 AM,2,Up,4
5,10:01:00 AM,6,Down,2
6,10:01:00 AM,3,Up,6
7,10:02:00 AM,3,Up,2
8,10:02:00 AM,2,Up,6
9,10:02:00 AM,1,Up,6
10,10:03:00 AM,5,Up,1
11,10:04:00 AM,5,Up,4
12,10:04:00 AM,3,Up,6
13,10:05:00 AM,4,Up,5
14,10:05:00 AM,2,Up,5
15,10:06:00 AM,4,Up,2
16,10:07:00 AM,2,Up,1
17,10:08:00 AM,2,Up,3
18,10:08:00 AM,1,Up,5
19,10:09:00 AM,1,Up,6
20,10:09:00 AM,2,Up,5
21,10:09:00 AM,5,Up,3
22,10:10:00 AM,1,Up,5
23,10:11:00 AM,3,Up,4
24,10:11:00 AM,4,Up,3
25,10:11:00 AM,5,Up,6
26,10:12:00 AM,6,Down,5
27,10:12:00 AM,6,Down,5
28,10:12:00 AM,1,Up,3
29,10:13:00 AM,3,Up,5
30,10:14:00 AM,1,Up,2
31,10:15:00 AM,4,Up,2
32,10:15:00 AM,2,Up,1
33,10:16:00 AM,6,Down,4
34,10:16:00 AM,4,Up,2
35,10:16:00 AM,5,Up,6
36,10:17:00 AM,2,Up,1
37,10:17:00 AM,5,Up,3
38,10:17:00 AM,5,Up,3
39,10:18:00 AM,4,Up,2
40,10:18:00 AM,3,Up,2
41,10:18:00 AM,5,Up,3
42,10:19:00 AM,5,Up,1
43,10:19:00 AM,6,Down,4
44,10:19:00 AM,5,Up,1
45,10:20:00 AM,1,Up,2
46,10:20:00 AM,6,Down,5
47,10:21:00 AM,2,Up,4
48,10:21:00 AM,1,Up,3
49,10:22:00 AM,4,Up,2
50,10:23:00 AM,1,Up,5
51,10:23:00 AM,3,Up,6
52,10:24:00 AM,2,Up,6
53,10:25:00 AM,2,Up,1
54,10:25:00 AM,4,Up,5
55,10:26:00 AM,6,Down,5
56,10:27:00 AM,4,Up,5
57,10:27:00 AM,3,Up,2
58,10:28:00 AM,3,Up,2
59,10:28:00 AM,2,Up,5
60,10:28:00 AM,1,Up,4
61,10:29:00 AM,1,Up,4
62,10:29:00 AM,1,Up,3
63,10:29:00 AM,6,Down,2
64,10:30:00 AM,3,Up,2
65,10:30:00 AM,5,Up,4
66,10:31:00 AM,1,Up,3
67,10:31:00 AM,1,Up,5
68,10:32:00 AM,3,Up,1
69,10:32:00 AM,2,Up,5
70,10:33:00 AM,3,Up,6
71,10:33:00 AM,2,Up,1
72,10:34:00 AM,6,Down,5
73,10:34:00 AM,5,Up,6
74,10:34:00 AM,1,Up,3
75,10:35:00 AM,4,Up,6
76,10:36:00 AM,4,Up,5
77,10:36:00 AM,1,Up,2
78,10:36:00 AM,6,Down,4
79,10:37:00 AM,1,Up,4
80,10:38:00 AM,3,Up,4
81,10:38:00 AM,5,Up,6
82,10:39:00 AM,6,Down,2
83,10:39:00 AM,2,Up,6
84,10:39:00 AM,6,Down,2
85,10:40:00 AM,3,Up,2
86,10:41:00 AM,1,Up,3
87,10:42:00 AM,4,Up,6
88,10:43:00 AM,6,Down,1
89,10:44:00 AM,2,Up,5
90,10:44:00 AM,3,Up,5
91,10:45:00 AM,2,Up,5
92,10:45:00 AM,1,Up,5
93,10:46:00 AM,1,Up,6
94,10:46:00 AM,1,Up,3
95,10:47:00 AM,5,Up,1
96,10:47:00 AM,1,Up,5
97,10:48:00 AM,1,Up,6
98,10:48:00 AM,3,Up,4
99,10:49:00 AM,3,Up,6
100,10:50:00 AM,5,Up,4
101,10:50:00 AM,2,Up,4
102,10:51:00 AM,1,Up,4
103,10:51:00 AM,4,Up,6
104,10:52:00 AM,1,Up,2
105,10:53:00 AM,3,Up,6
106,10:53:00 AM,1,Up,4
107,10:53:00 AM,5,Up,2
108,10:54:00 AM,6,Down,3
109,10:55:00 AM,6,Down,2
110,10:56:00 AM,4,Up,3
111,10:56:00 AM,6,Down,3
112,10:57:00 AM,5,Up,4
113,10:57:00 AM,6,Down,3
114,10:58:00 AM,5,Up,6
115,10:59:00 AM,2,Up,4
116,10:59:00 AM,3,Up,2
