Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,10:00:00 AM,4,Up,5
2,10:00:00 AM,2,Up,5
3,10:01:00 AM,4,Up,6
4,10:01:00 AM,6,Up,3
5,10:01:00 AM,6,Down,5
6,10:01:00 AM,5,Down,2
7,10:02:00 AM,6,Up,5
8,10:02:00 AM,4,Up,5
9,10:02:00 AM,5,Down,1
10,10:02:00 AM,3,Down,2
11,10:03:00 AM,5,Up,4
12,10:03:00 AM,2,Up,5
13,10:04:00 AM,1,Down,3
14,10:04:00 AM,2,Up,3
15,10:04:00 AM,2,Down,6
16,10:04:00 AM,4,Down,1
17,10:05:00 AM,5,Up,1
18,10:05:00 AM,1,Down,3
19,10:05:00 AM,1,Up,5
20,10:06:00 AM,6,Down,4
21,10:06:00 AM,3,Up,4
22,10:06:00 AM,6,Down,2
23,10:06:00 AM,1,Up,6
24,10:07:00 AM,2,Up,3
25,10:07:00 AM,2,Up,6
26,10:07:00 AM,3,Up,1
27,10:07:00 AM,2,Down,4
28,10:08:00 AM,1,Down,4
29,10:08:00 AM,5,Down,1
30,10:08:00 AM,2,Up,6
31,10:08:00 AM,1,Up,3
32,10:09:00 AM,2,Up,3
33,10:09:00 AM,4,Up,6
34,10:09:00 AM,3,Down,2
35,10:10:00 AM,4,Up,3
36,10:10:00 AM,3,Down,2
37,10:10:00 AM,6,Up,1
38,10:11:00 AM,3,Down,1
39,10:11:00 AM,5,Up,4
40,10:11:00 AM,4,Up,3
41,10:12:00 AM,2,Up,3
42,10:12:00 AM,2,Down,5
43,10:12:00 AM,5,Down,1
44,10:13:00 AM,3,Down,4
45,10:13:00 AM,3,Up,6
46,10:14:00 AM,6,Up,5
47,10:14:00 AM,6,Up,4
48,10:15:00 AM,3,Up,4
49,10:15:00 AM,1,Up,4
50,10:15:00 AM,5,Up,3
51,10:15:00 AM,6,Up,3
52,10:16:00 AM,1,Up,4
53,10:16:00 AM,3,Down,4
54,10:17:00 AM,5,Down,2
55,10:17:00 AM,1,Down,4
56,10:17:00 AM,3,Up,1
57,10:17:00 AM,2,Up,6
58,10:18:00 AM,2,Down,4
59,10:18:00 AM,1,Down,4
60,10:18:00 AM,6,Up,5
61,10:19:00 AM,4,Down,2
62,10:19:00 AM,6,Down,3
63,10:19:00 AM,1,Up,6
64,10:20:00 AM,6,Down,3
65,10:20:00 AM,3,Down,2
66,10:20:00 AM,2,Down,3
67,10:21:00 AM,5,Down,4
68,10:21:00 AM,3,Down,4
69,10:21:00 AM,5,Down,3
70,10:21:00 AM,2,Down,3
71,10:22:00 AM,2,Up,5
72,10:22:00 AM,5,Up,1
73,10:22:00 AM,5,Up,2
74,10:22:00 AM,5,Down,1
75,10:23:00 AM,1,Up,2
76,10:23:00 AM,1,Up,6
77,10:23:00 AM,5,Down,3
78,10:24:00 AM,1,Up,2
79,10:24:00 AM,1,Down,4
80,10:24:00 AM,6,Up,1
81,10:25:00 AM,6,Up,1
82,10:25:00 AM,6,Down,5
83,10:26:00 AM,4,Up,6
84,10:26:00 AM,2,Up,4
85,10:26:00 AM,4,Up,1
86,10:27:00 AM,4,Down,3
87,10:27:00 AM,4,Up,3
88,10:28:00 AM,2,Up,5
