Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,1:00:00 PM,4,Down,3
2,1:00:00 PM,6,Down,2
3,1:00:00 PM,6,Down,5
4,1:00:00 PM,5,Down,4
5,1:00:00 PM,3,Down,5
6,1:00:00 PM,2,Down,3
7,1:00:00 PM,1,Up,6
8,1:01:00 PM,2,Down,3
9,1:01:00 PM,3,Up,2
10,1:01:00 PM,1,Up,3
11,1:01:00 PM,6,Up,2
12,1:01:00 PM,1,Down,6
13,1:01:00 PM,4,Up,6
14,1:01:00 PM,4,Up,5
15,1:02:00 PM,4,Down,3
16,1:02:00 PM,6,Up,4
17,1:02:00 PM,6,Down,1
18,1:02:00 PM,5,Down,6
19,1:02:00 PM,1,Up,6
20,1:02:00 PM,1,Up,3
21,1:02:00 PM,4,Up,5
22,1:03:00 PM,3,Up,1
23,1:03:00 PM,5,Up,1
24,1:03:00 PM,3,Up,2
25,1:03:00 PM,2,Up,6
26,1:03:00 PM,2,Down,1
27,1:03:00 PM,6,Up,1
28,1:03:30 PM,2,Down,4
29,1:03:30 PM,3,Down,2
30,1:03:30 PM,1,Up,2
31,1:03:30 PM,2,Up,3
32,1:04:00 PM,5,Down,3
33,1:04:00 PM,4,Down,1
34,1:04:00 PM,1,Down,5
35,1:04:00 PM,4,Up,6
36,1:04:00 PM,2,Up,6
37,1:04:00 PM,1,Up,3
38,1:04:00 PM,1,Up,6
39,1:05:00 PM,2,Down,3
40,1:05:00 PM,2,Up,5
41,1:05:00 PM,3,Down,1
42,1:05:00 PM,4,Up,3
43,1:05:00 PM,6,Down,3
44,1:05:00 PM,5,Up,2
45,1:05:30 PM,2,Up,1
46,1:05:30 PM,2,Up,4
47,1:05:30 PM,3,Up,6
48,1:05:30 PM,4,Up,6
49,1:05:30 PM,1,Down,3
50,1:05:30 PM,3,Up,4
51,1:05:30 PM,2,Up,4
52,1:06:30 PM,1,Up,3
53,1:06:30 PM,4,Up,1
54,1:06:30 PM,6,Down,5
55,1:06:30 PM,1,Up,6
56,1:06:30 PM,5,Down,6
57,1:06:30 PM,4,Up,5
58,1:06:30 PM,4,Down,1
59,1:07:30 PM,2,Up,3
60,1:07:30 PM,1,Up,2
61,1:07:30 PM,4,Down,2
62,1:07:30 PM,5,Down,3
63,1:07:30 PM,4,Up,6
64,1:07:30 PM,5,Down,6
65,1:07:30 PM,5,Down,6
66,1:07:30 PM,5,Down,3
67,1:07:30 PM,5,Down,1
68,1:08:30 PM,5,Up,3
69,1:08:30 PM,1,Down,6
70,1:08:30 PM,1,Up,2
71,1:08:30 PM,5,Down,6
72,1:08:30 PM,3,Down,1
73,1:08:30 PM,2,Up,4
74,1:09:15 PM,2,Down,4
75,1:09:15 PM,2,Up,1
76,1:09:15 PM,2,Down,6
77,1:09:15 PM,1,Up,5
78,1:09:15 PM,6,Up,3
79,1:09:15 PM,2,Down,4
80,1:09:45 PM,4,Up,1
81,1:09:45 PM,1,Down,2
82,1:09:45 PM,4,Up,6
83,1:09:45 PM,1,Down,3
84,1:10:15 PM,1,Down,5
85,1:10:15 PM,6,Up,4
86,1:10:15 PM,4,Up,5
87,1:10:15 PM,5,Down,6
88,1:10:15 PM,1,Up,6
89,1:10:15 PM,2,Down,3
90,1:10:15 PM,1,Down,3
91,1:10:15 PM,3,Down,4
92,1:10:15 PM,2,Down,3
93,1:11:00 PM,4,Down,6
94,1:11:00 PM,3,Down,2
95,1:11:00 PM,2,Up,5
96,1:11:00 PM,6,Down,4
97,1:11:00 PM,4,Down,2
98,1:11:00 PM,6,Down,3
99,1:12:00 PM,5,Up,2
100,1:12:00 PM,6,Down,5
101,1:12:00 PM,4,Up,5
102,1:12:00 PM,3,Down,2
103,1:12:00 PM,1,Up,5
104,1:12:00 PM,6,Down,2
105,1:12:00 PM,5,Down,6
106,1:12:00 PM,3,Up,6
107,1:12:00 PM,5,Down,1
108,1:12:45 PM,3,Up,2
109,1:12:45 PM,6,Down,2
110,1:12:45 PM,1,Up,2
111,1:12:45 PM,3,Up,4
112,1:12:45 PM,1,Up,6
113,1:12:45 PM,4,Down,2
114,1:12:45 PM,3,Down,4
115,1:12:45 PM,2,Up,3
116,1:13:45 PM,2,Up,3
117,1:13:45 PM,5,Down,1
118,1:13:45 PM,1,Down,6
119,1:13:45 PM,2,Up,3
120,1:13:45 PM,5,Up,6
