Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,12:00:00 PM,3,Down,1
2,12:00:00 PM,6,Down,1
3,12:00:00 PM,5,Down,1
4,12:00:00 PM,5,Down,1
5,12:00:00 PM,3,Down,1
6,12:00:00 PM,2,Down,1
7,12:00:00 PM,6,Down,1
8,12:00:00 PM,5,Down,1
9,12:00:00 PM,5,Down,1
10,12:00:00 PM,6,Down,1
11,12:00:00 PM,4,Down,1
12,12:00:00 PM,1,Up,4
13,12:00:00 PM,1,Up,5
14,12:00:00 PM,1,Up,4
15,12:00:00 PM,1,Up,4
16,12:00:00 PM,1,Up,3
17,12:00:00 PM,4,Down,1
18,12:00:00 PM,6,Down,1
19,12:00:00 PM,4,Up,6
20,12:00:00 PM,1,Up,2
21,12:00:00 PM,3,Down,2
22,12:01:00 AM,6,Down,1
23,12:01:00 AM,3,Down,1
24,12:01:00 AM,2,Down,1
25,12:01:00 AM,4,Down,1
26,12:01:00 AM,6,Down,1
27,12:01:00 AM,5,Down,1
28,12:01:00 AM,4,Down,1
29,12:01:00 AM,1,Up,4
30,12:01:00 AM,1,Up,6
31,12:01:00 AM,1,Up,4
32,12:01:00 AM,1,Up,6
33,12:01:00 AM,5,Down,1
34,12:01:00 AM,3,Up,5
35,12:01:00 AM,3,Down,1
36,12:01:00 AM,4,Up,6
37,12:01:00 AM,4,Up,5
38,12:01:00 AM,5,Down,3
39,12:02:00 AM,6,Down,1
40,12:02:00 AM,6,Down,1
41,12:02:00 AM,2,Down,1
42,12:02:00 AM,2,Down,1
43,12:02:00 AM,5,Down,1
44,12:02:00 AM,2,Down,1
45,12:02:00 AM,6,Down,1
46,12:02:00 AM,3,Down,1
47,12:02:00 AM,1,Up,4
48,12:02:00 AM,1,Up,5
49,12:02:00 AM,5,Down,4
50,12:02:00 AM,4,Up,6
51,12:02:00 AM,5,Down,2
52,12:02:00 AM,2,Up,5
53,12:03:00 AM,5,Down,1
54,12:03:00 AM,5,Down,1
55,12:03:00 AM,6,Down,1
56,12:03:00 AM,6,Down,1
57,12:03:00 AM,3,Down,1
58,12:03:00 AM,2,Down,1
59,12:03:00 AM,1,Up,6
60,12:03:00 AM,1,Up,2
61,12:03:00 AM,1,Up,5
62,12:03:00 AM,1,Up,3
63,12:03:00 AM,1,Up,5
64,12:03:00 AM,2,Down,1
65,12:03:00 AM,6,Down,1
66,12:03:00 AM,2,Up,5
67,12:03:00 AM,5,Down,4
68,12:04:00 AM,3,Down,1
69,12:04:00 AM,5,Down,1
70,12:04:00 AM,5,Down,1
71,12:04:00 AM,2,Down,1
72,12:04:00 AM,3,Down,1
73,12:04:00 AM,1,Up,5
74,12:04:00 AM,1,Up,2
75,12:04:00 AM,6,Down,3
76,12:04:00 AM,2,Down,1
77,12:04:00 AM,2,Up,4
78,12:04:00 AM,2,Down,1
79,12:04:00 AM,5,Up,6
80,12:04:00 AM,5,Up,6
81,12:04:00 AM,6,Down,2
82,12:04:00 AM,2,Up,6
83,12:05:00 AM,3,Down,1
84,12:05:00 AM,4,Down,1
85,12:05:00 AM,2,Down,1
86,12:05:00 AM,4,Down,1
87,12:05:00 AM,5,Down,1
88,12:05:00 AM,6,Down,1
89,12:05:00 AM,5,Down,1
90,12:05:00 AM,3,Down,1
91,12:05:00 AM,1,Up,5
92,12:05:00 AM,1,Up,6
93,12:05:00 AM,1,Up,2
94,12:05:00 AM,1,Up,4
95,12:05:00 AM,1,Up,4
96,12:05:00 AM,5,Down,1
97,12:05:00 AM,6,Down,4
98,12:05:00 AM,4,Down,1
99,12:05:00 AM,5,Down,3
