Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,4:00:00 PM,6,Down,1
2,4:00:00 PM,6,Down,1
3,4:00:00 PM,3,Down,1
4,4:00:00 PM,2,Down,1
5,4:00:00 PM,5,Down,1
6,4:00:00 PM,2,Down,1
7,4:00:00 PM,4,Down,1
8,4:00:00 PM,5,Up,6
9,4:00:00 PM,2,Up,5
10,4:00:00 PM,4,Up,6
11,4:00:00 PM,3,Down,1
12,4:00:00 PM,1,Up,4
13,4:00:00 PM,1,Up,4
14,4:00:30 PM,5,Down,1
15,4:00:30 PM,5,Down,1
16,4:00:30 PM,2,Down,1
17,4:00:30 PM,3,Down,1
18,4:00:30 PM,3,Down,1
19,4:00:30 PM,2,Down,1
20,4:00:30 PM,5,Down,1
21,4:00:30 PM,5,Up,6
22,4:00:30 PM,5,Down,3
23,4:00:30 PM,3,Down,2
24,4:00:30 PM,3,Down,1
25,4:00:30 PM,3,Up,4
26,4:00:30 PM,1,Up,6
27,4:01:00 PM,2,Down,1
28,4:01:00 PM,4,Down,1
29,4:01:00 PM,5,Down,1
30,4:01:00 PM,2,Down,1
31,4:01:00 PM,6,Down,1
32,4:01:00 PM,5,Down,1
33,4:01:00 PM,2,Down,1
34,4:01:00 PM,4,Down,1
35,4:01:00 PM,3,Down,2
36,4:01:00 PM,5,Up,6
37,4:01:00 PM,1,Up,5
38,4:01:00 PM,1,Up,3
39,4:01:30 PM,3,Down,1
40,4:01:30 PM,2,Down,1
41,4:01:30 PM,4,Down,1
42,4:01:30 PM,6,Down,1
43,4:01:30 PM,2,Down,1
44,4:01:30 PM,5,Up,6
45,4:01:30 PM,4,Down,3
46,4:01:30 PM,3,Down,2
47,4:01:30 PM,2,Down,1
48,4:01:30 PM,6,Down,1
49,4:01:30 PM,1,Up,4
50,4:01:30 PM,1,Up,6
51,4:02:00 PM,4,Down,1
52,4:02:00 PM,4,Down,1
53,4:02:00 PM,5,Down,1
54,4:02:00 PM,5,Down,1
55,4:02:00 PM,3,Down,1
56,4:02:00 PM,4,Down,1
57,4:02:00 PM,6,Down,1
58,4:02:00 PM,5,Down,3
59,4:02:00 PM,3,Down,1
60,4:02:00 PM,2,Down,1
61,4:02:00 PM,4,Up,5
62,4:02:00 PM,1,Up,2
63,4:02:00 PM,1,Up,3
64,4:02:30 PM,2,Down,1
65,4:02:30 PM,2,Down,1
66,4:02:30 PM,6,Down,1
67,4:02:30 PM,5,Down,1
68,4:02:30 PM,6,Down,1
69,4:02:30 PM,5,Down,1
70,4:02:30 PM,4,Down,1
71,4:02:30 PM,3,Up,6
72,4:02:30 PM,5,Up,6
73,4:02:30 PM,4,Up,5
74,4:02:30 PM,4,Down,2
75,4:02:30 PM,1,Up,3
76,4:03:00 PM,5,Down,1
77,4:03:00 PM,4,Down,1
78,4:03:00 PM,2,Down,1
79,4:03:00 PM,6,Down,1
80,4:03:00 PM,4,Down,1
81,4:03:00 PM,6,Down,1
82,4:03:00 PM,6,Down,1
83,4:03:00 PM,3,Down,1
84,4:03:00 PM,2,Up,4
85,4:03:00 PM,5,Up,6
86,4:03:00 PM,4,Down,2
87,4:03:00 PM,1,Up,4
88,4:03:30 PM,4,Down,1
89,4:03:30 PM,6,Down,1
90,4:03:30 PM,4,Down,1
91,4:03:30 PM,4,Down,1
92,4:03:30 PM,6,Down,1
93,4:03:30 PM,2,Down,1
94,4:03:30 PM,3,Down,2
95,4:03:30 PM,5,Down,2
96,4:03:30 PM,1,Up,5
97,4:03:30 PM,1,Up,3
98,4:04:00 PM,3,Down,1
99,4:04:00 PM,2,Down,1
100,4:04:00 PM,4,Down,1
101,4:04:00 PM,6,Down,1
102,4:04:00 PM,5,Down,1
103,4:04:00 PM,3,Down,1
104,4:04:00 PM,5,Down,1
105,4:04:00 PM,3,Up,5
106,4:04:00 PM,5,Up,6
107,4:04:00 PM,5,Down,3
108,4:04:00 PM,1,Up,5
109,4:04:00 PM,1,Up,5
110,4:04:30 PM,6,Down,1
111,4:04:30 PM,6,Down,1
112,4:04:30 PM,4,Down,1
113,4:04:30 PM,4,Down,1
114,4:04:30 PM,4,Down,1
115,4:04:30 PM,3,Down,1
116,4:04:30 PM,5,Down,1
117,4:04:30 PM,2,Down,1
118,4:04:30 PM,4,Up,6
119,4:04:30 PM,5,Down,3
120,4:04:30 PM,1,Up,5
121,4:05:00 PM,3,Down,1
122,4:05:00 PM,3,Down,1
123,4:05:00 PM,4,Down,1
124,4:05:00 PM,5,Down,1
125,4:05:00 PM,5,Down,1
126,4:05:00 PM,4,Down,1
127,4:05:00 PM,3,Down,1
128,4:05:00 PM,5,Down,1
129,4:05:00 PM,3,Down,1
130,4:05:00 PM,4,Up,6
131,4:05:00 PM,2,Up,3
132,4:05:00 PM,4,Down,2
133,4:05:00 PM,1,Up,2
134,4:05:00 PM,1,Up,5
135,4:05:30 PM,3,Down,1
136,4:05:30 PM,2,Down,1
137,4:05:30 PM,4,Down,1
138,4:05:30 PM,3,Down,1
139,4:05:30 PM,6,Down,1
140,4:05:30 PM,5,Down,1
141,4:05:30 PM,6,Down,1
142,4:05:30 PM,3,Down,1
143,4:05:30 PM,3,Down,2
144,4:05:30 PM,3,Up,4
145,4:05:30 PM,2,Up,3
146,4:05:30 PM,1,Up,4
147,4:06:00 PM,2,Down,1
148,4:06:00 PM,4,Down,1
149,4:06:00 PM,6,Down,1
150,4:06:00 PM,6,Down,1
151,4:06:00 PM,3,Down,1
152,4:06:00 PM,2,Down,1
153,4:06:00 PM,3,Down,1
154,4:06:00 PM,5,Down,1
155,4:06:00 PM,3,Down,1
156,4:06:00 PM,2,Down,1
157,4:06:00 PM,4,Down,3
158,4:06:00 PM,4,Up,6
159,4:06:00 PM,2,Up,6
160,4:06:00 PM,1,Up,5
161,4:06:30 PM,5,Down,1
162,4:06:30 PM,4,Down,1
163,4:06:30 PM,4,Down,1
164,4:06:30 PM,2,Down,1
165,4:06:30 PM,2,Down,1
166,4:06:30 PM,5,Up,6
167,4:06:30 PM,4,Down,2
168,4:06:30 PM,4,Up,5
169,4:06:30 PM,6,Down,4
170,4:06:30 PM,1,Up,6
171,4:06:30 PM,1,Up,5
172,4:07:00 PM,2,Down,1
173,4:07:00 PM,6,Down,1
174,4:07:00 PM,2,Down,1
175,4:07:00 PM,3,Down,1
176,4:07:00 PM,6,Down,1
177,4:07:00 PM,4,Up,5
178,4:07:00 PM,2,Up,5
179,4:07:00 PM,3,Up,6
180,4:07:00 PM,2,Down,1
181,4:07:00 PM,4,Up,6
182,4:07:00 PM,4,Up,6
183,4:07:00 PM,5,Up,6
184,4:07:00 PM,1,Up,2
185,4:07:30 PM,2,Down,1
186,4:07:30 PM,3,Down,1
187,4:07:30 PM,5,Down,1
188,4:07:30 PM,4,Down,1
189,4:07:30 PM,3,Down,1
190,4:07:30 PM,4,Down,2
191,4:07:30 PM,5,Down,4
192,4:07:30 PM,6,Down,2
193,4:07:30 PM,2,Down,1
194,4:07:30 PM,1,Up,6
195,4:07:30 PM,1,Up,5
196,4:08:00 PM,4,Down,1
197,4:08:00 PM,3,Down,1
198,4:08:00 PM,6,Down,1
199,4:08:00 PM,6,Down,1
200,4:08:00 PM,6,Down,1
201,4:08:00 PM,3,Down,1
202,4:08:00 PM,2,Down,1
203,4:08:00 PM,2,Down,1
204,4:08:00 PM,2,Down,1
205,4:08:00 PM,3,Up,4
206,4:08:00 PM,4,Up,6
207,4:08:00 PM,5,Up,6
208,4:08:00 PM,4,Up,5
209,4:08:00 PM,3,Down,1
210,4:08:00 PM,1,Up,2
211,4:08:00 PM,1,Up,5
212,4:08:30 PM,6,Down,1
213,4:08:30 PM,5,Down,1
214,4:08:30 PM,3,Down,1
215,4:08:30 PM,5,Down,1
216,4:08:30 PM,3,Down,1
217,4:08:30 PM,5,Down,1
218,4:08:30 PM,2,Down,1
219,4:08:30 PM,5,Down,1
220,4:08:30 PM,5,Down,1
221,4:08:30 PM,3,Down,1
222,4:08:30 PM,5,Up,6
223,4:08:30 PM,2,Up,6
224,4:08:30 PM,4,Up,5
225,4:08:30 PM,1,Up,6
226,4:08:30 PM,1,Up,5
227,4:09:00 PM,6,Down,1
228,4:09:00 PM,3,Down,1
229,4:09:00 PM,3,Down,1
230,4:09:00 PM,2,Down,1
231,4:09:00 PM,6,Down,1
232,4:09:00 PM,3,Down,1
233,4:09:00 PM,2,Down,1
234,4:09:00 PM,6,Down,5
235,4:09:00 PM,3,Down,2
236,4:09:00 PM,6,Down,3
237,4:09:00 PM,5,Down,4
238,4:09:00 PM,3,Down,1
239,4:09:00 PM,2,Up,3
240,4:09:00 PM,1,Up,4
241,4:09:00 PM,1,Up,2
242,4:09:30 PM,6,Down,1
243,4:09:30 PM,3,Down,1
244,4:09:30 PM,4,Down,1
245,4:09:30 PM,5,Down,1
246,4:09:30 PM,2,Down,1
247,4:09:30 PM,3,Down,1
248,4:09:30 PM,3,Down,1
249,4:09:30 PM,2,Up,5
250,4:09:30 PM,2,Up,3
251,4:09:30 PM,4,Down,1
252,4:09:30 PM,4,Up,6
253,4:09:30 PM,5,Up,6
254,4:09:30 PM,1,Up,5
255,4:10:00 PM,6,Down,1
256,4:10:00 PM,2,Down,1
257,4:10:00 PM,5,Down,1
258,4:10:00 PM,5,Down,1
259,4:10:00 PM,5,Down,1
260,4:10:00 PM,4,Down,1
261,4:10:00 PM,4,Down,1
262,4:10:00 PM,3,Down,1
263,4:10:00 PM,3,Down,1
264,4:10:00 PM,2,Down,1
265,4:10:00 PM,3,Down,1
266,4:10:00 PM,4,Down,3
267,4:10:00 PM,2,Up,6
268,4:10:00 PM,4,Down,1
269,4:10:00 PM,3,Up,4
270,4:10:00 PM,1,Up,2
271,4:10:00 PM,1,Up,6
272,4:10:30 PM,5,Down,1
273,4:10:30 PM,3,Down,1
274,4:10:30 PM,6,Down,1
275,4:10:30 PM,3,Down,1
276,4:10:30 PM,5,Down,1
277,4:10:30 PM,2,Down,1
278,4:10:30 PM,2,Up,3
279,4:10:30 PM,2,Up,6
280,4:10:30 PM,3,Down,2
281,4:10:30 PM,5,Down,2
282,4:10:30 PM,5,Up,6
283,4:10:30 PM,3,Down,2
284,4:10:30 PM,1,Up,2
285,4:11:00 PM,2,Down,1
286,4:11:00 PM,4,Down,1
287,4:11:00 PM,3,Down,1
288,4:11:00 PM,4,Down,1
289,4:11:00 PM,6,Down,1
290,4:11:00 PM,4,Down,1
291,4:11:00 PM,2,Down,1
292,4:11:00 PM,5,Down,1
293,4:11:00 PM,2,Down,1
294,4:11:00 PM,2,Up,6
295,4:11:00 PM,3,Up,6
296,4:11:00 PM,6,Down,4
297,4:11:00 PM,5,Up,6
298,4:11:00 PM,4,Up,6
299,4:11:00 PM,2,Down,1
300,4:11:00 PM,1,Up,5
301,4:11:00 PM,1,Up,4
302,4:11:30 PM,4,Down,1
303,4:11:30 PM,5,Down,1
304,4:11:30 PM,5,Down,1
305,4:11:30 PM,5,Down,1
306,4:11:30 PM,2,Down,1
307,4:11:30 PM,3,Down,2
308,4:11:30 PM,5,Down,3
309,4:11:30 PM,4,Up,6
310,4:11:30 PM,1,Up,2
311,4:12:00 PM,4,Down,1
312,4:12:00 PM,6,Down,1
313,4:12:00 PM,3,Down,1
314,4:12:00 PM,6,Down,1
315,4:12:00 PM,3,Down,1
316,4:12:00 PM,4,Down,1
317,4:12:00 PM,3,Down,1
318,4:12:00 PM,6,Down,1
319,4:12:00 PM,5,Down,1
320,4:12:00 PM,4,Down,2
321,4:12:00 PM,6,Down,4
322,4:12:00 PM,3,Up,6
323,4:12:00 PM,2,Down,1
324,4:12:00 PM,2,Down,1
325,4:12:00 PM,4,Up,5
326,4:12:00 PM,1,Up,2
327,4:12:00 PM,1,Up,6
328,4:12:30 PM,2,Down,1
329,4:12:30 PM,6,Down,1
330,4:12:30 PM,2,Down,1
331,4:12:30 PM,6,Down,1
332,4:12:30 PM,2,Down,1
333,4:12:30 PM,6,Down,1
334,4:12:30 PM,4,Down,1
335,4:12:30 PM,6,Down,1
336,4:12:30 PM,4,Down,1
337,4:12:30 PM,5,Up,6
338,4:12:30 PM,5,Down,4
339,4:12:30 PM,3,Down,1
340,4:12:30 PM,2,Up,5
341,4:12:30 PM,4,Down,3
342,4:12:30 PM,3,Down,1
343,4:12:30 PM,1,Up,2
344,4:12:30 PM,1,Up,6
345,4:13:00 PM,4,Down,1
346,4:13:00 PM,4,Down,1
347,4:13:00 PM,4,Down,1
348,4:13:00 PM,5,Down,1
349,4:13:00 PM,4,Down,1
350,4:13:00 PM,3,Down,1
351,4:13:00 PM,6,Down,1
352,4:13:00 PM,4,Down,1
353,4:13:00 PM,5,Down,3
354,4:13:00 PM,3,Down,1
355,4:13:00 PM,4,Down,1
356,4:13:00 PM,2,Down,1
357,4:13:00 PM,3,Down,2
358,4:13:00 PM,1,Up,4
359,4:13:30 PM,3,Down,1
360,4:13:30 PM,4,Down,1
361,4:13:30 PM,2,Down,1
362,4:13:30 PM,5,Down,1
363,4:13:30 PM,5,Down,1
364,4:13:30 PM,3,Down,1
365,4:13:30 PM,5,Down,1
366,4:13:30 PM,6,Down,4
367,4:13:30 PM,4,Up,5
368,4:13:30 PM,2,Up,6
369,4:13:30 PM,5,Up,6
370,4:13:30 PM,5,Down,1
371,4:13:30 PM,1,Up,6
372,4:13:30 PM,1,Up,5
373,4:14:00 PM,4,Down,1
374,4:14:00 PM,6,Down,1
375,4:14:00 PM,4,Down,1
376,4:14:00 PM,2,Down,1
377,4:14:00 PM,6,Down,1
378,4:14:00 PM,3,Down,1
379,4:14:00 PM,6,Down,2
380,4:14:00 PM,3,Down,2
381,4:14:00 PM,1,Up,3
382,4:14:30 PM,5,Down,1
383,4:14:30 PM,3,Down,1
384,4:14:30 PM,4,Down,1
385,4:14:30 PM,6,Down,1
386,4:14:30 PM,4,Down,1
387,4:14:30 PM,2,Down,1
388,4:14:30 PM,4,Down,1
389,4:14:30 PM,4,Down,1
390,4:14:30 PM,2,Up,3
391,4:14:30 PM,4,Up,5
392,4:14:30 PM,3,Up,5
393,4:14:30 PM,2,Up,6
394,4:14:30 PM,1,Up,3
395,4:14:30 PM,1,Up,6
396,4:15:00 PM,3,Down,1
397,4:15:00 PM,2,Down,1
398,4:15:00 PM,6,Down,1
399,4:15:00 PM,5,Down,1
400,4:15:00 PM,2,Down,1
401,4:15:00 PM,6,Down,1
402,4:15:00 PM,6,Down,1
403,4:15:00 PM,3,Down,1
404,4:15:00 PM,3,Up,4
405,4:15:00 PM,3,Up,6
406,4:15:00 PM,1,Up,4
407,4:15:30 PM,4,Down,1
408,4:15:30 PM,4,Down,1
409,4:15:30 PM,4,Down,1
410,4:15:30 PM,5,Down,1
411,4:15:30 PM,4,Down,1
412,4:15:30 PM,3,Down,1
413,4:15:30 PM,3,Down,1
414,4:15:30 PM,6,Down,1
415,4:15:30 PM,5,Down,1
416,4:15:30 PM,4,Up,5
417,4:15:30 PM,2,Up,6
418,4:15:30 PM,4,Down,2
419,4:15:30 PM,1,Up,3
420,4:15:30 PM,1,Up,2
421,4:16:00 PM,5,Down,1
422,4:16:00 PM,5,Down,1
423,4:16:00 PM,5,Down,1
424,4:16:00 PM,2,Down,1
425,4:16:00 PM,2,Down,1
426,4:16:00 PM,5,Down,1
427,4:16:00 PM,3,Down,1
428,4:16:00 PM,4,Down,1
429,4:16:00 PM,3,Down,1
430,4:16:00 PM,3,Down,1
431,4:16:00 PM,3,Down,1
432,4:16:00 PM,6,Down,1
433,4:16:00 PM,4,Up,6
434,4:16:00 PM,6,Down,2
435,4:16:00 PM,1,Up,2
436,4:16:00 PM,1,Up,2
437,4:16:30 PM,3,Down,1
438,4:16:30 PM,2,Down,1
439,4:16:30 PM,3,Down,1
440,4:16:30 PM,2,Down,1
441,4:16:30 PM,6,Down,1
442,4:16:30 PM,3,Down,1
443,4:16:30 PM,3,Down,1
444,4:16:30 PM,5,Down,1
445,4:16:30 PM,5,Up,6
446,4:16:30 PM,2,Down,1
447,4:16:30 PM,1,Up,3
448,4:17:00 PM,3,Down,1
449,4:17:00 PM,6,Down,1
450,4:17:00 PM,5,Down,1
451,4:17:00 PM,4,Down,1
452,4:17:00 PM,2,Down,1
453,4:17:00 PM,5,Down,1
454,4:17:00 PM,5,Down,1
455,4:17:00 PM,2,Down,1
456,4:17:00 PM,4,Down,3
457,4:17:00 PM,4,Up,6
458,4:17:00 PM,2,Up,4
459,4:17:00 PM,2,Up,6
460,4:17:00 PM,6,Down,1
461,4:17:00 PM,3,Up,4
462,4:17:00 PM,1,Up,2
463,4:17:30 PM,5,Down,1
464,4:17:30 PM,3,Down,1
465,4:17:30 PM,6,Down,1
466,4:17:30 PM,4,Down,1
467,4:17:30 PM,4,Down,1
468,4:17:30 PM,6,Down,1
469,4:17:30 PM,5,Down,1
470,4:17:30 PM,2,Up,5
471,4:17:30 PM,6,Down,4
472,4:17:30 PM,2,Up,3
473,4:17:30 PM,2,Down,1
474,4:17:30 PM,3,Down,1
475,4:17:30 PM,1,Up,2
476,4:18:00 PM,2,Down,1
477,4:18:00 PM,6,Down,1
478,4:18:00 PM,5,Down,1
