Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,12:00:00 PM,3,Down,1
2,12:00:00 PM,2,Down,1
3,12:00:00 PM,4,Down,1
4,12:00:00 PM,4,Down,1
5,12:00:00 PM,5,Down,1
6,12:00:00 PM,6,Down,1
7,12:00:00 PM,3,Down,1
8,12:00:00 PM,5,Down,1
9,12:00:00 PM,3,Down,1
10,12:00:00 PM,5,Down,1
11,12:00:00 PM,3,Down,1
12,12:00:00 PM,1,Up,4
13,12:00:00 PM,1,Up,5
14,12:00:00 PM,4,Down,3
15,12:00:00 PM,5,Down,2
16,12:00:00 PM,5,Up,6
17,12:00:00 PM,3,Up,5
18,12:01:00 PM,3,Down,1
19,12:01:00 PM,4,Down,1
20,12:01:00 PM,2,Down,1
21,12:01:00 PM,2,Down,1
22,12:01:00 PM,6,Down,1
23,12:01:00 PM,6,Down,1
24,12:01:00 PM,2,Down,1
25,12:01:00 PM,3,Down,1
26,12:01:00 PM,2,Down,1
27,12:01:00 PM,1,Up,3
28,12:01:00 PM,1,Up,3
29,12:01:00 PM,1,Up,4
30,12:01:00 PM,1,Up,3
31,12:01:00 PM,1,Up,5
32,12:01:00 PM,3,Up,5
33,12:01:00 PM,1,Up,5
34,12:01:00 PM,2,Down,1
35,12:01:00 PM,6,Down,3
36,12:01:00 PM,2,Up,5
37,12:01:00 PM,5,Up,6
38,12:01:00 PM,1,Up,6
39,12:01:00 PM,3,Up,5
40,12:01:00 PM,4,Down,3
41,12:02:00 PM,6,Down,1
42,12:02:00 PM,6,Down,1
43,12:02:00 PM,5,Down,1
44,12:02:00 PM,2,Down,1
45,12:02:00 PM,3,Down,1
46,12:02:00 PM,4,Down,1
47,12:02:00 PM,6,Down,1
48,12:02:00 PM,2,Down,1
49,12:02:00 PM,1,Up,4
50,12:02:00 PM,1,Up,6
51,12:02:00 PM,1,Up,6
52,12:02:00 PM,1,Up,2
53,12:02:00 PM,1,Up,3
54,12:02:00 PM,2,Down,1
55,12:02:00 PM,5,Up,6
56,12:02:00 PM,6,Down,3
57,12:02:00 PM,4,Up,6
58,12:02:00 PM,4,Down,1
