Passenger ID,Time,Floor,Direction (Up/Down),Destination Floor
1,08:00:00 AM,1,Up,2
2,08:00:00 AM,1,Up,3
3,08:00:00 AM,1,Up,2
4,08:00:00 AM,1,Up,2
5,08:00:00 AM,1,Up,5
6,08:00:00 AM,1,Up,5
7,08:00:00 AM,1,Up,4
8,08:00:00 AM,1,Up,5
9,08:00:00 AM,1,Up,4
10,08:00:00 AM,1,Up,6
11,08:00:00 AM,1,Up,2
12,08:00:00 AM,1,Up,6
13,08:00:00 AM,1,Up,5
14,08:00:30 AM,1,Up,2
15,08:00:30 AM,1,Up,3
16,08:00:30 AM,1,Up,5
17,08:00:30 AM,1,Up,5
18,08:00:30 AM,1,Up,4
19,08:00:30 AM,1,Up,2
20,08:00:30 AM,1,Up,2
21,08:01:00 AM,1,Up,6
22,08:01:00 AM,1,Up,2
23,08:01:00 AM,1,Up,4
24,08:01:00 AM,1,Up,5
25,08:01:00 AM,1,Up,3
26,08:01:00 AM,1,Up,3
27,08:01:30 AM,1,Up,2
28,08:01:30 AM,1,Up,2
29,08:01:30 AM,1,Up,2
30,08:01:30 AM,1,Up,3
31,08:01:30 AM,1,Up,3
32,08:01:30 AM,1,Up,2
33,08:01:30 AM,1,Up,3
34,08:01:30 AM,1,Up,5
35,08:02:00 AM,1,Up,2
36,08:02:00 AM,1,Up,4
37,08:02:00 AM,1,Up,4
38,08:02:00 AM,1,Up,5
39,08:02:00 AM,1,Up,3
40,08:02:00 AM,1,Up,2
41,08:02:00 AM,1,Up,3
42,08:02:00 AM,1,Up,3
43,08:02:00 AM,1,Up,3
44,08:02:00 AM,1,Up,4
45,08:02:30 AM,1,Up,5
46,08:02:30 AM,1,Up,2
47,08:02:30 AM,1,Up,2
48,08:02:30 AM,1,Up,3
49,08:02:30 AM,1,Up,2
50,08:02:30 AM,1,Up,2
51,08:02:30 AM,1,Up,2
52,08:02:30 AM,1,Up,4
53,08:02:30 AM,1,Up,4
54,08:03:00 AM,1,Up,5
55,08:03:00 AM,1,Up,3
56,08:03:00 AM,1,Up,6
57,08:03:00 AM,1,Up,2
58,08:03:00 AM,1,Up,5
59,08:03:00 AM,1,Up,2
60,08:03:00 AM,1,Up,4
61,08:03:30 AM,1,Up,3
62,08:03:30 AM,1,Up,2
63,08:03:30 AM,1,Up,3
64,08:03:30 AM,1,Up,3
65,08:03:30 AM,1,Up,3
66,08:03:30 AM,1,Up,4
67,08:04:00 AM,1,Up,5
68,08:04:00 AM,1,Up,2
69,08:04:00 AM,1,Up,2
70,08:04:00 AM,1,Up,3
71,08:04:00 AM,1,Up,3
72,08:04:30 AM,1,Up,4
73,08:04:30 AM,1,Up,6
74,08:04:30 AM,1,Up,2
75,08:04:30 AM,1,Up,4
76,08:04:30 AM,1,Up,6
77,08:04:30 AM,1,Up,5
78,08:04:30 AM,1,Up,5
79,08:04:30 AM,1,Up,5
80,08:04:30 AM,1,Up,2
81,08:04:30 AM,1,Up,4
82,08:05:00 AM,1,Up,3
83,08:05:00 AM,1,Up,6
84,08:05:00 AM,1,Up,4
85,08:05:00 AM,1,Up,5
86,08:05:00 AM,1,Up,2
87,08:05:00 AM,1,Up,2
88,08:05:00 AM,1,Up,5
89,08:05:00 AM,1,Up,3
90,08:05:00 AM,1,Up,3
91,08:05:00 AM,1,Up,4
92,08:05:00 AM,1,Up,5
93,08:05:30 AM,1,Up,6
94,08:05:30 AM,1,Up,3
95,08:05:30 AM,1,Up,4
96,08:05:30 AM,1,Up,4
97,08:05:30 AM,1,Up,2
98,08:05:30 AM,1,Up,4
99,08:06:00 AM,1,Up,2
100,08:06:00 AM,1,Up,2
101,08:06:00 AM,1,Up,2
102,08:06:00 AM,1,Up,6
103,08:06:00 AM,1,Up,4
104,08:06:00 AM,1,Up,3
105,08:06:00 AM,1,Up,5
106,08:06:00 AM,1,Up,4
107,08:06:00 AM,1,Up,6
108,08:06:00 AM,1,Up,6
109,08:06:00 AM,1,Up,2
110,08:06:00 AM,1,Up,4
111,08:06:30 AM,1,Up,6
112,08:06:30 AM,1,Up,5
113,08:06:30 AM,1,Up,5
114,08:06:30 AM,1,Up,3
115,08:06:30 AM,1,Up,5
116,08:06:30 AM,1,Up,2
117,08:06:30 AM,1,Up,4
118,08:06:30 AM,1,Up,3
119,08:06:30 AM,1,Up,5
120,08:06:30 AM,1,Up,3
121,08:06:30 AM,1,Up,3
122,08:06:30 AM,1,Up,3
123,08:06:30 AM,1,Up,6
124,08:06:30 AM,1,Up,5
125,08:07:00 AM,1,Up,3
126,08:07:00 AM,1,Up,2
127,08:07:00 AM,1,Up,2
128,08:07:00 AM,1,Up,5
129,08:07:00 AM,1,Up,2
130,08:07:00 AM,1,Up,3
131,08:07:00 AM,1,Up,3
132,08:07:00 AM,1,Up,4
133,08:07:00 AM,1,Up,4
134,08:07:00 AM,1,Up,6
135,08:07:00 AM,1,Up,2
136,08:07:00 AM,1,Up,3
137,08:07:00 AM,1,Up,5
138,08:07:00 AM,1,Up,2
139,08:07:30 AM,1,Up,4
140,08:07:30 AM,1,Up,4
141,08:07:30 AM,1,Up,4
142,08:07:30 AM,1,Up,3
143,08:07:30 AM,1,Up,4
144,08:07:30 AM,1,Up,5
145,08:07:30 AM,1,Up,5
146,08:07:30 AM,1,Up,2
147,08:07:30 AM,1,Up,3
148,08:07:30 AM,1,Up,4
149,08:07:30 AM,1,Up,3
150,08:08:00 AM,1,Up,5
151,08:08:00 AM,1,Up,4
152,08:08:00 AM,1,Up,3
153,08:08:00 AM,1,Up,6
154,08:08:00 AM,1,Up,4
155,08:08:00 AM,1,Up,3
156,08:08:00 AM,1,Up,6
157,08:08:00 AM,1,Up,5
158,08:08:00 AM,1,Up,2
159,08:08:00 AM,1,Up,3
160,08:08:30 AM,1,Up,3
161,08:08:30 AM,1,Up,3
162,08:08:30 AM,1,Up,2
163,08:08:30 AM,1,Up,5
164,08:08:30 AM,1,Up,3
165,08:09:00 AM,1,Up,4
166,08:09:00 AM,1,Up,3
167,08:09:00 AM,1,Up,3
168,08:09:00 AM,1,Up,3
169,08:09:00 AM,1,Up,6
170,08:09:00 AM,1,Up,5
171,08:09:00 AM,1,Up,2
172,08:09:00 AM,1,Up,2
173,08:09:00 AM,1,Up,4
174,08:09:30 AM,1,Up,3
175,08:09:30 AM,1,Up,3
176,08:09:30 AM,1,Up,4
177,08:09:30 AM,1,Up,3
178,08:09:30 AM,1,Up,3
179,08:10:00 AM,1,Up,2
180,08:10:00 AM,1,Up,2
181,08:10:00 AM,1,Up,5
182,08:10:00 AM,1,Up,4
183,08:10:00 AM,1,Up,4
184,08:10:00 AM,1,Up,4
185,08:10:30 AM,1,Up,4
186,08:10:30 AM,1,Up,2
187,08:10:30 AM,1,Up,4
188,08:10:30 AM,1,Up,2
189,08:10:30 AM,1,Up,3
190,08:10:30 AM,1,Up,4
191,08:10:30 AM,1,Up,6
192,08:10:30 AM,1,Up,6
193,08:10:30 AM,1,Up,3
194,08:10:30 AM,1,Up,4
195,08:10:30 AM,1,Up,2
196,08:10:30 AM,1,Up,3
197,08:10:30 AM,1,Up,5
198,08:10:30 AM,1,Up,5
199,08:11:00 AM,1,Up,5
200,08:11:00 AM,1,Up,3
201,08:11:00 AM,1,Up,3
202,08:11:00 AM,1,Up,3
203,08:11:00 AM,1,Up,6
204,08:11:00 AM,1,Up,4
205,08:11:30 AM,1,Up,5
206,08:11:30 AM,1,Up,3
207,08:11:30 AM,1,Up,3
208,08:11:30 AM,1,Up,3
209,08:11:30 AM,1,Up,4
210,08:11:30 AM,1,Up,2
211,08:11:30 AM,1,Up,4
212,08:11:30 AM,1,Up,3
213,08:11:30 AM,1,Up,4
214,08:12:00 AM,1,Up,4
215,08:12:00 AM,1,Up,5
216,08:12:00 AM,1,Up,3
217,08:12:00 AM,1,Up,6
218,08:12:00 AM,1,Up,6
219,08:12:00 AM,1,Up,3
220,08:12:00 AM,1,Up,5
221,08:12:00 AM,1,Up,4
222,08:12:00 AM,1,Up,3
223,08:12:30 AM,1,Up,5
224,08:12:30 AM,1,Up,2
225,08:12:30 AM,1,Up,5
226,08:12:30 AM,1,Up,3
227,08:12:30 AM,1,Up,3
228,08:12:30 AM,1,Up,4
229,08:12:30 AM,1,Up,4
230,08:12:30 AM,1,Up,2
231,08:12:30 AM,1,Up,6
232,08:12:30 AM,1,Up,5
233,08:12:30 AM,1,Up,4
234,08:12:30 AM,1,Up,4
235,08:13:00 AM,1,Up,5
236,08:13:00 AM,1,Up,3
237,08:13:00 AM,1,Up,5
238,08:13:00 AM,1,Up,2
239,08:13:00 AM,1,Up,4
240,08:13:00 AM,1,Up,4
241,08:13:00 AM,1,Up,3
242,08:13:00 AM,1,Up,3
243,08:13:00 AM,1,Up,5
244,08:13:00 AM,1,Up,3
245,08:13:00 AM,1,Up,5
246,08:13:00 AM,1,Up,3
247,08:13:30 AM,1,Up,2
248,08:13:30 AM,1,Up,5
249,08:13:30 AM,1,Up,3
250,08:13:30 AM,1,Up,2
251,08:13:30 AM,1,Up,4
252,08:13:30 AM,1,Up,5
253,08:13:30 AM,1,Up,5
254,08:13:30 AM,1,Up,4
255,08:14:00 AM,1,Up,3
256,08:14:00 AM,1,Up,2
257,08:14:00 AM,1,Up,3
258,08:14:00 AM,1,Up,3
259,08:14:00 AM,1,Up,3
260,08:14:00 AM,1,Up,6
261,08:14:00 AM,1,Up,2
262,08:14:00 AM,1,Up,3
263,08:14:00 AM,1,Up,3
264,08:14:00 AM,1,Up,6
265,08:14:00 AM,1,Up,2
266,08:14:00 AM,1,Up,2
267,08:14:00 AM,1,Up,2
268,08:14:00 AM,1,Up,6
269,08:14:30 AM,1,Up,3
270,08:14:30 AM,1,Up,4
271,08:14:30 AM,1,Up,2
272,08:14:30 AM,1,Up,4
273,08:14:30 AM,1,Up,5
274,08:14:30 AM,1,Up,3
275,08:14:30 AM,1,Up,5
276,08:15:00 AM,1,Up,5
277,08:15:00 AM,1,Up,2
278,08:15:00 AM,1,Up,3
279,08:15:00 AM,1,Up,4
280,08:15:00 AM,1,Up,5
281,08:15:30 AM,1,Up,3
282,08:15:30 AM,1,Up,4
283,08:15:30 AM,1,Up,5
284,08:15:30 AM,1,Up,3
285,08:15:30 AM,1,Up,2
286,08:15:30 AM,1,Up,4
287,08:15:30 AM,1,Up,5
288,08:15:30 AM,1,Up,4
289,08:15:30 AM,1,Up,3
290,08:15:30 AM,1,Up,4
291,08:15:30 AM,1,Up,4
292,08:15:30 AM,1,Up,3
293,08:15:30 AM,1,Up,4
294,08:16:00 AM,1,Up,4
295,08:16:00 AM,1,Up,6
296,08:16:00 AM,1,Up,5
297,08:16:00 AM,1,Up,4
298,08:16:00 AM,1,Up,3
299,08:16:00 AM,1,Up,4
300,08:16:00 AM,1,Up,5
301,08:16:00 AM,1,Up,2
302,08:16:30 AM,1,Up,3
303,08:16:30 AM,1,Up,3
304,08:16:30 AM,1,Up,5
305,08:16:30 AM,1,Up,4
306,08:16:30 AM,1,Up,5
307,08:16:30 AM,1,Up,3
308,08:16:30 AM,1,Up,6
309,08:16:30 AM,1,Up,5
310,08:16:30 AM,1,Up,2
311,08:16:30 AM,1,Up,4
312,08:16:30 AM,1,Up,3
313,08:16:30 AM,1,Up,6
314,08:16:30 AM,1,Up,2
315,08:16:30 AM,1,Up,3
316,08:17:00 AM,1,Up,4
317,08:17:00 AM,1,Up,3
318,08:17:00 AM,1,Up,4
319,08:17:00 AM,1,Up,2
320,08:17:00 AM,1,Up,5
321,08:17:00 AM,1,Up,3
322,08:17:00 AM,1,Up,6
323,08:17:00 AM,1,Up,6
324,08:17:00 AM,1,Up,5
325,08:17:00 AM,1,Up,4
326,08:17:00 AM,1,Up,4
327,08:17:00 AM,1,Up,4
328,08:17:00 AM,1,Up,3
329,08:17:00 AM,1,Up,5
330,08:17:30 AM,1,Up,4
331,08:17:30 AM,1,Up,6
332,08:17:30 AM,1,Up,4
333,08:17:30 AM,1,Up,4
334,08:17:30 AM,1,Up,3
335,08:17:30 AM,1,Up,5
336,08:17:30 AM,1,Up,5
337,08:17:30 AM,1,Up,3
338,08:17:30 AM,1,Up,4
339,08:17:30 AM,1,Up,4
340,08:17:30 AM,1,Up,4
341,08:17:30 AM,1,Up,5
342,08:18:00 AM,1,Up,2
343,08:18:00 AM,1,Up,6
344,08:18:00 AM,1,Up,4
345,08:18:00 AM,1,Up,3
346,08:18:00 AM,1,Up,5
347,08:18:00 AM,1,Up,5
348,08:18:00 AM,1,Up,4
349,08:18:00 AM,1,Up,3
350,08:18:00 AM,1,Up,3
351,08:18:00 AM,1,Up,2
352,08:18:00 AM,1,Up,3
353,08:18:00 AM,1,Up,4
354,08:18:00 AM,1,Up,6
355,08:18:30 AM,1,Up,2
356,08:18:30 AM,1,Up,3
357,08:18:30 AM,1,Up,3
358,08:18:30 AM,1,Up,3
359,08:18:30 AM,1,Up,3
360,08:19:00 AM,1,Up,5
361,08:19:00 AM,1,Up,5
362,08:19:00 AM,1,Up,5
363,08:19:00 AM,1,Up,2
364,08:19:00 AM,1,Up,4
365,08:19:00 AM,1,Up,5
366,08:19:00 AM,1,Up,5
367,08:19:00 AM,1,Up,5
368,08:19:00 AM,1,Up,5
369,08:19:00 AM,1,Up,2
370,08:19:00 AM,1,Up,5
371,08:19:00 AM,1,Up,6
372,08:19:00 AM,1,Up,2
373,08:19:30 AM,1,Up,3
374,08:19:30 AM,1,Up,2
375,08:19:30 AM,1,Up,4
376,08:19:30 AM,1,Up,6
377,08:19:30 AM,1,Up,5
378,08:19:30 AM,1,Up,2
379,08:19:30 AM,1,Up,6
380,08:20:00 AM,1,Up,3
381,08:20:00 AM,1,Up,2
382,08:20:00 AM,1,Up,4
383,08:20:00 AM,1,Up,2
384,08:20:00 AM,1,Up,6
385,08:20:00 AM,1,Up,6
386,08:20:00 AM,1,Up,4
387,08:20:00 AM,1,Up,4
388,08:20:00 AM,1,Up,4
389,08:20:00 AM,1,Up,5
390,08:20:30 AM,1,Up,2
391,08:20:30 AM,1,Up,2
392,08:20:30 AM,1,Up,3
393,08:20:30 AM,1,Up,5
394,08:20:30 AM,1,Up,5
395,08:20:30 AM,1,Up,3
396,08:20:30 AM,1,Up,2
397,08:20:30 AM,1,Up,6
398,08:20:30 AM,1,Up,3
399,08:21:00 AM,1,Up,3
400,08:21:00 AM,1,Up,4
401,08:21:00 AM,1,Up,6
402,08:21:00 AM,1,Up,4
403,08:21:00 AM,1,Up,3
404,08:21:00 AM,1,Up,4
405,08:21:00 AM,1,Up,3
406,08:21:00 AM,1,Up,6
407,08:21:00 AM,1,Up,5
408,08:21:30 AM,1,Up,2
409,08:21:30 AM,1,Up,6
410,08:21:30 AM,1,Up,3
411,08:21:30 AM,1,Up,5
412,08:21:30 AM,1,Up,2
413,08:21:30 AM,1,Up,4
414,08:21:30 AM,1,Up,3
415,08:21:30 AM,1,Up,3
416,08:21:30 AM,1,Up,2
417,08:21:30 AM,1,Up,3
418,08:21:30 AM,1,Up,5
419,08:22:00 AM,1,Up,5
420,08:22:00 AM,1,Up,5
421,08:22:00 AM,1,Up,3
422,08:22:00 AM,1,Up,3
423,08:22:00 AM,1,Up,2
424,08:22:00 AM,1,Up,5
425,08:22:00 AM,1,Up,3
426,08:22:00 AM,1,Up,6
427,08:22:00 AM,1,Up,5
428,08:22:00 AM,1,Up,4
429,08:22:30 AM,1,Up,6
430,08:22:30 AM,1,Up,4
431,08:22:30 AM,1,Up,5
432,08:22:30 AM,1,Up,6
433,08:22:30 AM,1,Up,3
434,08:22:30 AM,1,Up,3
435,08:22:30 AM,1,Up,3
436,08:22:30 AM,1,Up,6
437,08:22:30 AM,1,Up,4
438,08:22:30 AM,1,Up,6
439,08:22:30 AM,1,Up,4
440,08:22:30 AM,1,Up,3
441,08:22:30 AM,1,Up,5
442,08:22:30 AM,1,Up,3
443,08:23:00 AM,1,Up,4
444,08:23:00 AM,1,Up,5
445,08:23:00 AM,1,Up,4
446,08:23:00 AM,1,Up,3
447,08:23:00 AM,1,Up,3
448,08:23:00 AM,1,Up,2
449,08:23:00 AM,1,Up,2
450,08:23:30 AM,1,Up,6
451,08:23:30 AM,1,Up,5
452,08:23:30 AM,1,Up,3
453,08:23:30 AM,1,Up,4
454,08:23:30 AM,1,Up,3
455,08:23:30 AM,1,Up,2
456,08:24:00 AM,1,Up,2
457,08:24:00 AM,1,Up,3
458,08:24:00 AM,1,Up,5
459,08:24:00 AM,1,Up,4
460,08:24:00 AM,1,Up,4
461,08:24:00 AM,1,Up,3
462,08:24:00 AM,1,Up,4
463,08:24:00 AM,1,Up,4
464,08:24:00 AM,1,Up,3
465,08:24:30 AM,1,Up,2
466,08:24:30 AM,1,Up,3
467,08:24:30 AM,1,Up,3
468,08:24:30 AM,1,Up,5
469,08:24:30 AM,1,Up,5
470,08:24:30 AM,1,Up,6
471,08:24:30 AM,1,Up,4
472,08:25:00 AM,1,Up,3
473,08:25:00 AM,1,Up,2
474,08:25:00 AM,1,Up,6
475,08:25:00 AM,1,Up,6
476,08:25:00 AM,1,Up,3
477,08:25:00 AM,1,Up,3
478,08:25:00 AM,1,Up,4
479,08:25:00 AM,1,Up,5
480,08:25:00 AM,1,Up,3
481,08:25:00 AM,1,Up,3
482,08:25:00 AM,1,Up,3
483,08:25:00 AM,1,Up,3
484,08:25:00 AM,1,Up,4
485,08:25:00 AM,1,Up,4
486,08:25:30 AM,1,Up,3
487,08:25:30 AM,1,Up,3
488,08:25:30 AM,1,Up,5
489,08:25:30 AM,1,Up,4
490,08:25:30 AM,1,Up,3
491,08:25:30 AM,1,Up,5
492,08:25:30 AM,1,Up,3
493,08:25:30 AM,1,Up,6
494,08:26:00 AM,1,Up,4
495,08:26:00 AM,1,Up,5
496,08:26:00 AM,1,Up,4
