Passenger ID,Time (seconds),Floor,Direction (Up/Down),Destination Floor
1,0.0,1,Up,2
2,0.0,1,Up,4
3,0.0,1,Up,3
4,0.0,1,Up,3
5,0.0,1,Up,3
6,0.0,1,Up,3
7,0.0,1,Up,3
8,0.0,1,Up,5
9,0.0,1,Up,5
10,0.0,1,Up,2
11,30.0,1,Up,2
12,30.0,1,Up,6
13,30.0,1,Up,6
14,30.0,1,Up,3
15,30.0,1,Up,4
16,60.0,1,Up,2
17,60.0,1,Up,3
18,60.0,1,Up,4
19,60.0,1,Up,4
20,60.0,1,Up,3
21,60.0,1,Up,3
22,60.0,1,Up,6
23,60.0,1,Up,5
24,60.0,1,Up,4
25,60.0,1,Up,3
26,60.0,1,Up,2
27,60.0,1,Up,3
28,60.0,1,Up,2
29,90.0,1,Up,5
30,90.0,1,Up,5
31,90.0,1,Up,4
32,90.0,1,Up,4
33,90.0,1,Up,5
34,90.0,1,Up,4
35,90.0,1,Up,2
36,90.0,1,Up,5
37,90.0,1,Up,5
38,90.0,1,Up,5
39,90.0,1,Up,5
40,90.0,1,Up,5
41,120.0,1,Up,6
42,120.0,1,Up,5
43,120.0,1,Up,2
44,120.0,1,Up,5
45,120.0,1,Up,4
46,120.0,1,Up,3
47,150.0,1,Up,5
48,150.0,1,Up,3
49,150.0,1,Up,5
50,150.0,1,Up,4
51,150.0,1,Up,4
52,150.0,1,Up,3
53,150.0,1,Up,3
54,150.0,1,Up,2
55,150.0,1,Up,6
56,180.0,1,Up,3
57,180.0,1,Up,3
58,180.0,1,Up,3
59,180.0,1,Up,5
60,180.0,1,Up,2
61,180.0,1,Up,3
62,180.0,1,Up,3
63,180.0,1,Up,5
64,180.0,1,Up,2
65,180.0,1,Up,5
66,180.0,1,Up,6
67,180.0,1,Up,2
68,210.0,1,Up,4
69,210.0,1,Up,5
70,210.0,1,Up,3
71,210.0,1,Up,2
72,210.0,1,Up,2
73,210.0,1,Up,3
74,210.0,1,Up,2
75,210.0,1,Up,5
76,210.0,1,Up,4
77,210.0,1,Up,6
78,210.0,1,Up,3
79,210.0,1,Up,4
80,210.0,1,Up,2
81,210.0,1,Up,3
82,240.0,1,Up,5
83,240.0,1,Up,2
84,240.0,1,Up,2
85,240.0,1,Up,6
86,240.0,1,Up,2
87,240.0,1,Up,5
88,270.0,1,Up,6
89,270.0,1,Up,4
90,270.0,1,Up,3
91,270.0,1,Up,3
92,270.0,1,Up,3
93,270.0,1,Up,5
94,270.0,1,Up,5
95,300.0,1,Up,2
96,300.0,1,Up,3
97,300.0,1,Up,2
98,300.0,1,Up,3
99,300.0,1,Up,3
100,300.0,1,Up,5
101,300.0,1,Up,5
102,300.0,1,Up,4
103,300.0,1,Up,4
104,300.0,1,Up,5
105,330.0,1,Up,6
106,330.0,1,Up,4
107,330.0,1,Up,5
108,330.0,1,Up,3
109,330.0,1,Up,4
110,330.0,1,Up,5
111,360.0,1,Up,4
112,360.0,1,Up,3
113,360.0,1,Up,5
114,360.0,1,Up,4
115,360.0,1,Up,3
116,360.0,1,Up,4
117,390.0,1,Up,4
118,390.0,1,Up,3
119,390.0,1,Up,4
120,390.0,1,Up,2
121,390.0,1,Up,4
122,390.0,1,Up,3
123,390.0,1,Up,5
124,390.0,1,Up,2
125,390.0,1,Up,3
126,420.0,1,Up,3
127,420.0,1,Up,3
128,420.0,1,Up,3
