Episode,Wait Time,Service Time,Energy Usage,Total Reward,Correct Drop-Offs
1,25980.0,1035.0,1169,5438919.800000036,263
2,25860.0,30.0,1197,5868703.60000003,266
3,25860.0,860.0,1236,8306279.600000001,264
4,25860.0,210.0,1148,6751413.000000036,265
5,25860.0,425.0,1217,6565870.400000026,266
6,25950.0,230.0,1242,6282834.800000023,263
7,26220.0,255.0,1181,6473791.999999993,261
8,25860.0,90.0,1265,7051781.60000002,268
9,25860.0,1260.0,1233,6674102.000000004,263
10,25950.0,65.0,1207,6625977.000000024,265
11,25860.0,890.0,1196,6999103.000000028,264
12,25860.0,375.0,1205,7226798.200000032,264
13,25860.0,105.0,1203,5581739.400000034,268
14,25950.0,0.0,1262,4929704.000000023,266
15,25860.0,175.0,1194,7194404.800000005,263
16,25860.0,1030.0,1224,7193827.400000015,264
17,25950.0,720.0,1257,7735027.600000005,263
18,25860.0,0.0,1249,7942791.800000009,269
19,25950.0,1560.0,1200,9824321.200000007,263
20,26010.0,420.0,1167,7679981.000000013,263
21,26580.0,1075.0,1200,7803420.600000016,260
22,25860.0,385.0,1194,9924404.799999977,266
23,25860.0,325.0,1251,7785610.600000024,263
24,26580.0,75.0,1185,8316710.199999998,264
25,25860.0,340.0,1236,6423619.600000022,264
26,25860.0,10565.0,1223,10579287.999999996,260
27,25950.0,925.0,1245,8728414.800000016,260
28,25950.0,10270.0,1220,11239067.999999994,248
29,26670.0,5975.0,1200,6315660.600000024,252
30,25950.0,3405.0,1259,6713965.800000036,258
31,26070.0,5870.0,1186,9507269.599999987,252
32,25950.0,1085.0,1164,6125062.800000036,263
33,25950.0,240.0,1219,7294030.400000021,264
34,25950.0,80.0,1230,6896143.200000006,265
35,25860.0,2240.0,1137,9473397.800000008,261
36,25950.0,1195.0,1196,9146404.200000003,261
37,26220.0,3885.0,1165,9062561.600000026,254
38,25860.0,0.0,1204,9756179.400000023,269
39,25950.0,920.0,1165,6535502.200000015,260
40,25950.0,3395.0,1154,8593409.399999985,258
41,25860.0,2060.0,1243,7798275.4000000125,264
42,28560.0,385.0,1219,8106689.200000007,260
43,27360.0,7430.0,1240,7568457.200000009,246
44,25860.0,6880.0,1219,9438728.599999985,249
45,25860.0,1335.0,1184,8815070.200000001,263
46,25860.0,295.0,1181,5894352.600000003,264
47,25950.0,235.0,1260,15108907.59999996,263
48,25860.0,995.0,1218,8181990.400000015,262
49,29010.0,8085.0,1186,10074708.400000017,242
50,25860.0,8620.0,1228,6814543.800000021,248
51,25860.0,200.0,1177,9355474.400000002,265
52,25860.0,1210.0,1246,6251233.60000003,267
53,26310.0,6025.0,1225,8567605.600000026,250
54,25860.0,235.0,1159,12919524.599999955,268
55,26310.0,16095.0,1100,13042101.799999978,239
56,49740.0,11275.0,1145,20029156.59999992,234
57,25950.0,860.0,1259,5911605.800000025,262
58,28650.0,10755.0,1165,8959381.600000005,250
59,25950.0,105.0,1167,10673899.799999986,265
60,26310.0,16355.0,1160,11863485.199999994,243
61,25860.0,120.0,1169,10863379.799999971,265
62,26100.0,5500.0,1080,14420473.199999945,253
63,28560.0,13010.0,1200,9653320.599999998,253
64,26670.0,1020.0,1150,15227850.599999942,260
65,25950.0,300.0,1194,6653365.400000032,265
66,28830.0,14095.0,1118,15543730.399999917,242
67,26100.0,6070.0,1063,18723067.59999988,249
68,26310.0,2535.0,1210,7462655.20000001,256
69,25950.0,7100.0,1218,6648610.400000024,253
70,25950.0,4515.0,1177,6950314.400000035,260
71,26580.0,4370.0,1116,8603631.600000005,258
72,81750.0,16700.0,1137,17742049.799999926,194
73,26670.0,2140.0,1239,6410737.2000000235,259
74,49740.0,12605.0,1197,14924022.999999952,228
75,27840.0,10930.0,1094,12146724.79999998,244
76,26310.0,7960.0,1184,7891510.20000001,246
77,33450.0,13095.0,1105,11136438.199999988,229
78,31080.0,15620.0,1151,13926650.599999959,231
79,25860.0,155.0,1211,6851654.600000027,265
80,28500.0,4935.0,1196,11087522.999999978,247
81,27840.0,10625.0,1183,9152612.000000019,242
82,31890.0,12825.0,1129,13273043.79999996,236
83,26580.0,7205.0,1162,11555722.799999988,252
84,51570.0,34835.0,1068,17755662.19999993,218
85,57570.0,30035.0,1100,14273902.399999961,200
86,25950.0,1930.0,1206,6563837.6,263
87,36630.0,19440.0,1164,10871742.800000016,219
88,78570.0,30180.0,1081,18341813.199999925,212
89,52680.0,6520.0,1052,24314377.5999999,225
90,26310.0,26240.0,1139,21201077.19999987,242
91,27840.0,8320.0,1083,11953750.799999982,242
92,64650.0,7695.0,1116,16179072.19999995,225
93,27960.0,16600.0,1133,15128701.399999931,238
94,38670.0,33660.0,1049,21767215.999999873,231
95,43980.0,18095.0,1117,18672892.79999994,204
96,26400.0,29675.0,998,22675577.7999999,240
97,36540.0,15640.0,1065,18167563.999999914,224
98,25950.0,510.0,1156,10331647.599999998,261
99,28560.0,4235.0,1215,11813952.199999971,253
100,25860.0,4135.0,1059,18863326.399999887,249
101,38970.0,33215.0,1113,20272874.59999992,232
102,32460.0,14330.0,1067,25057221.799999893,234
103,29160.0,18715.0,1110,20013134.599999927,230
104,30510.0,8445.0,1167,10424120.999999996,238
105,31530.0,15130.0,1149,9213531.200000014,234
106,26670.0,7210.0,1132,13349462.599999925,247
107,76350.0,19070.0,1080,16815356.19999993,213
108,38370.0,13315.0,1108,19539135.79999991,236
109,25950.0,6910.0,1121,9657388.000000004,247
110,26220.0,75.0,1143,8595996.000000015,267
111,42720.0,30635.0,1092,16623385.399999952,234
112,26220.0,210.0,1067,19798000.999999873,266
113,39210.0,5440.0,1108,15211260.599999957,234
114,59760.0,16420.0,1052,20707811.199999873,210
115,25860.0,7360.0,1138,12430097.799999999,250
116,32940.0,36255.0,1041,18093376.599999927,236
117,50910.0,17135.0,1142,11878675.399999991,222
118,40170.0,27270.0,1045,20940529.199999925,234
119,49740.0,1930.0,1089,16776389.599999934,241
120,44940.0,22575.0,1062,12210383.399999985,211
121,33120.0,15710.0,1069,15133819.799999973,234
122,50910.0,12405.0,1069,14461559.799999947,222
123,54990.0,14020.0,1117,16965790.39999993,218
124,26670.0,4500.0,1168,8937119.800000027,252
125,31110.0,26515.0,1036,22228663.9999999,227
126,31230.0,12285.0,1130,12687203.199999975,246
127,31800.0,16235.0,1059,12562565.199999966,228
128,49740.0,19535.0,1041,24620635.7999999,230
129,43020.0,38225.0,1104,23423830.999999933,221
130,62520.0,11100.0,1022,23258167.999999877,219
131,56340.0,26030.0,1036,21720242.599999882,201
132,50820.0,28390.0,1117,22211839.39999988,218
133,25860.0,85.0,1208,3826915.800000028,268
134,31260.0,23440.0,1089,19086677.39999992,241
135,79800.0,12010.0,1113,19431195.39999992,208
136,84240.0,28050.0,1099,16558424.19999991,195
137,45660.0,20455.0,1041,15079298.399999963,217
138,42690.0,11100.0,1110,12142294.599999972,235
139,27330.0,27240.0,1040,19843695.999999914,238
140,49740.0,2565.0,1052,21211233.79999989,236
141,33060.0,17720.0,1150,12822151.199999977,230
142,33570.0,41080.0,1042,22577085.599999897,225
143,35100.0,14715.0,1069,20373461.599999927,235
144,26610.0,10435.0,1068,15032879.799999941,245
145,25950.0,8620.0,1063,15428686.99999994,255
146,44070.0,13920.0,977,20585156.199999873,227
147,62730.0,23165.0,1135,18353001.999999925,217
148,31530.0,21475.0,1023,18409627.399999924,234
149,49740.0,21855.0,1086,16721434.999999937,223
150,30540.0,22320.0,1080,22811196.59999986,233
151,27900.0,28580.0,972,23417222.199999828,236
152,33300.0,8360.0,1003,20821939.999999873,238
153,46350.0,1695.0,1179,17955573.79999993,241
154,31590.0,14860.0,1050,20255989.999999918,242
155,46860.0,16535.0,1044,21365894.199999873,216
156,34770.0,18765.0,1059,21515733.599999864,227
157,31590.0,21510.0,1025,20887988.599999886,223
158,79980.0,11890.0,1045,14044755.399999954,204
159,75570.0,13060.0,1064,18539932.99999992,221
160,33780.0,23645.0,1086,13528850.799999978,221
161,61380.0,12240.0,1136,24514923.19999984,207
162,27480.0,23380.0,1085,14058249.599999996,234
163,26070.0,41075.0,1046,20617812.99999991,242
164,76020.0,18920.0,982,19303353.799999926,211
165,50400.0,14865.0,1149,18169251.199999884,231
166,40050.0,16315.0,1095,11369363.599999975,230
167,50430.0,3930.0,1009,22069507.599999867,207
168,60300.0,39180.0,954,19994012.9999999,201
169,77190.0,1630.0,978,20320463.399999894,218
170,36600.0,27695.0,967,19775260.399999883,220
171,28020.0,7140.0,1010,19779901.199999902,248
172,79740.0,15805.0,1001,19053393.799999915,201
173,42270.0,35885.0,1076,18188139.199999902,213
174,50220.0,28630.0,993,18359385.399999894,223
175,49140.0,29110.0,1006,18833038.1999999,222
176,33060.0,20880.0,898,18683622.39999987,227
177,55110.0,10710.0,992,19018247.79999987,219
178,76800.0,10695.0,1050,20060513.59999989,212
179,50010.0,25830.0,1040,19531558.999999896,221
180,33300.0,28830.0,1034,21815942.599999852,233
181,51630.0,19695.0,934,17446301.399999917,220
182,85590.0,7875.0,963,20336675.99999992,198
